frame,disk_id,cx_mm,cy_mm,mx_mm,my_mm,r_px,marker_color
149,1,664.1033895150628,242.1076058546433,644.8164067284885,235.49170614392952,56.93940734863281,blue
150,0,794.9833762979994,286.69148124981444,784.4771031166864,302.3505501595562,57.368186950683594,green
150,1,656.9126722350347,256.4884736452563,638.1305223269258,249.60635099167294,57.242210388183594,blue
151,0,799.3346240090478,303.7301803382437,788.1914833397767,320.17957523039,57.33015060424805,green
151,1,650.3954584197745,269.6350082716458,630.701761880745,263.72099583941633,57.25537109375,blue
152,0,804.1288587169175,321.1521969365119,792.6487396074851,338.75147634584187,57.11872482299805,green
152,1,642.4219191847701,285.0608175493357,622.5301253899462,279.3213927763959,56.95405578613281,blue
153,0,808.9920125890828,339.86579041276894,797.1059958751937,357.3233774612937,57.16870880126953,green
153,1,634.4161421038353,301.2362360926291,614.3584888991473,294.92178971337546,57.194942474365234,blue
154,0,814.0124109755752,358.40248381040794,800.077500053666,372.9237743982733,57.62467956542969,green
154,1,627.1992627463082,315.6439914256285,606.1868524083486,310.522186650355,57.6081428527832,blue
155,1,619.9852399067748,329.94410590597136,599.5009680067859,323.8939554534804,57.87179183959961,blue
156,0,823.1066574368263,393.3528656252703,808.2491365444647,407.0960724507047,58.174407958984375,green
156,1,612.5558446788177,344.57997460447814,591.3293315159871,340.9801044796961,57.73277282714844,blue
157,0,827.7015706669041,410.0331623885846,812.7063928121732,424.9250975215385,57.68012619018555,green
157,1,605.0725383414215,358.80912955052986,583.1576950251882,355.8376253720576,57.47400665283203,blue
158,0,833.073638157526,429.61758577896114,816.4207730352636,442.0112465477542,57.92877197265625,green
159,0,838.1695755754108,447.9413779029488,821.6209053475901,461.3260237078241,58.586387634277344,green
159,1,589.4721414044419,390.75279946910706,567.5572980882087,386.2955432013986,58.2001838684082,blue
160,0,842.6923957323111,464.7257788775938,824.5924095260624,476.1835446001856,59.44479751586914,green
160,1,581.9907394123749,404.0579615272651,559.3856615974099,401.89594013837814,58.629310607910156,blue
161,0,847.4041088092478,482.2014118651907,829.0496657937708,494.0125696710194,59.00302505493164,green
161,1,574.2431824897714,419.3535271869029,551.9569011512291,417.4963370753577,58.500099182128906,blue
162,0,852.2824974440468,499.48774385875197,834.2497981060974,510.355842652617,58.650020599365234,green
162,1,565.974787119626,434.5341066619001,543.0423886158122,433.83961005695534,58.454811096191406,blue
163,0,857.550460723338,518.4731599599776,838.7070543738058,529.6706198126869,59.06652069091797,green
163,1,557.5898639519544,450.75541085931667,534.8707521250134,450.92575908317104,58.99424362182617,blue
164,0,862.7883172098053,536.2593372609039,842.4214345968961,546.0138927942845,60.11376953125,green
164,1,549.8415815644636,465.78327997553254,526.6991156342146,466.5261560201506,59.69118118286133,blue
165,0,867.672509563703,552.6565666934961,846.8786908646046,560.8714136866461,61.570377349853516,green
165,1,542.0508594810644,481.58295304874844,518.5274791434158,481.3836769125121,59.87882614135742,blue
166,0,871.5051405634268,570.1917331434089,850.593071087695,577.2146866682436,60.448875427246094,green
166,1,534.2000144951285,495.54642915059605,511.0987186972351,497.72694989410974,59.35115051269531,blue
167,0,876.2538523496171,585.2650798397488,855.7932034000215,592.0722075606052,59.971858978271484,green
167,1,525.2667305557521,511.9072493141558,502.18420616181817,514.8130989203254,59.5753059387207,blue
168,0,881.3994841122835,603.4428268136073,859.5075836231118,609.1583565868209,60.25399398803711,green
168,1,516.6702890318707,528.7848725268218,493.2696936264013,531.8992479465411,60.20981216430664,blue
169,0,885.7691404948478,619.0213691208562,863.9648398908203,623.2730014345643,63.39114761352539,green
169,1,508.85512785007984,545.0927790951624,485.09805713560246,547.4996448835207,61.735965728759766,blue
170,0,889.7363452311699,634.8381359604797,867.6792201139107,638.1305223269258,64.13108825683594,green
170,1,500.72552298119024,560.5580128553228,476.92642064480367,562.3571657758822,61.249881744384766,blue
171,0,894.9863532544999,649.2481357004742,872.1364763816191,652.2451671746692,62.41592788696289,green
171,1,491.9203742775372,575.2321724974136,468.01190810938675,580.9290668913341,60.45911407470703,blue
172,0,898.8032053929245,665.5657000201273,876.5937326493275,667.8455641116487,61.2762565612793,green
172,1,482.86942900174824,592.0722075606052,459.0973955739699,598.7580919621678,60.74546813964844,blue
173,0,902.8059579087255,681.3479619360476,880.308112872418,681.9602089593922,62.93911361694336,green
173,1,473.89066748224786,609.7395899862324,450.182883038553,615.8442409883835,62.6220817565918,blue
174,0,907.1493161891244,695.0384365324846,884.7653691401264,695.3319777625175,65.87171936035156,green
174,1,466.15471799784154,626.6159436353456,442.0112465477542,632.9303900145992,63.957115173339844,blue
175,0,910.834587133611,709.8515227004976,888.4797493632168,709.4466226102609,65.73482513427734,green
175,1,457.33927676109965,641.5229775062668,433.83961005695534,648.5307869515788,61.89397430419922,blue
176,0,914.9709158717902,723.6714927793219,892.1941295863071,722.0755153687682,63.235774993896484,green
176,1,448.0130175605719,657.9043827360043,423.4393454323023,667.1026880670306,61.3971061706543,blue
177,0,919.3091052148668,738.0473503280567,896.6513858540155,736.9330362611296,62.948490142822266,green
177,1,438.58841252625643,675.9574857739099,414.5248328968854,684.9317131378644,61.79985427856445,blue
178,1,430.51611938346537,692.8590946694129,407.0960724507047,701.274986119462,65.02391052246094,blue
179,1,422.2350737193472,709.8313910498745,398.1815599152878,718.3611351456777,65.42839813232422,blue
180,1,412.8737654964507,725.4808928914147,390.009923424489,735.4472841718934,62.737266540527344,blue
181,1,403.24136011347287,742.8314738690593,380.352534844454,754.0191852873453,62.044498443603516,blue
