collision_frame,disk_id,linear_before_mm_s,linear_after_mm_s,angular_before_rad_s,angular_after_rad_s
145,0,1078.3592614578656,1125.4678434174637,3.7494321736528047,1.3767031914456673
145,1,1113.8682521195383,998.3022906229364,-0.4988236618234776,-0.8698647985855601
