epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,303.267,2.27921,0.27875,0.05174,1.14896,0.75304,0.77216,0.57092,0.59986,0.16692,0.81345,0.7033,0.80234,0.70631,2.9036,0.86654,0.07527,1.6018,0.87424,0.0014852,0.0014852,0.0014852
28,315.379,2.27182,0.25999,0.046,1.18882,0.74678,0.64048,0.48387,0.45892,0.11733,0.85248,0.74567,0.8337,0.7165,3.16927,0.88848,0.05627,1.64759,0.88928,0.0014654,0.0014654,0.0014654
29,327.25,2.39324,0.28283,0.05316,1.21397,0.7553,0.68388,0.58929,0.60167,0.17465,0.78894,0.76366,0.83557,0.73805,3.03505,0.87997,0.0599,1.47556,0.8823,0.0014456,0.0014456,0.0014456
30,339.026,2.30836,0.29252,0.05209,1.17645,0.75281,0.49794,0.45858,0.42054,0.10555,0.79784,0.73477,0.81699,0.73333,3.13881,0.83765,0.05143,1.67231,0.88722,0.0014258,0.0014258,0.0014258
31,350.47,2.24419,0.27621,0.05954,1.16344,0.73715,0.64231,0.49462,0.5202,0.1461,0.80984,0.62582,0.77144,0.69465,3.08529,0.92075,0.05234,1.74534,0.88151,0.001406,0.001406,0.001406
32,360.995,2.17766,0.30189,0.0381,1.17684,0.74773,0.69926,0.45836,0.49545,0.1388,0.8159,0.67025,0.76937,0.69759,3.16797,0.89293,0.04251,1.89286,0.92589,0.0013862,0.0013862,0.0013862
33,371.832,2.36693,0.28167,0.04373,1.19293,0.7472,0.66169,0.46237,0.47504,0.11606,0.75104,0.72043,0.76806,0.65329,3.22959,0.98923,0.03872,1.57862,0.92199,0.0013664,0.0013664,0.0013664
34,383.752,2.18486,0.25546,0.04912,1.15959,0.73931,0.73794,0.54502,0.57644,0.18535,0.85114,0.64158,0.7232,0.65877,2.89883,0.86598,0.0422,1.66216,0.87865,0.0013466,0.0013466,0.0013466
35,395.235,2.17316,0.23139,0.05616,1.25673,0.74433,0.69158,0.49027,0.51876,0.14432,0.87551,0.62366,0.77948,0.68311,3.12697,0.9063,0.04311,1.8072,0.89358,0.0013268,0.0013268,0.0013268
36,406.916,2.06326,0.23432,0.05412,1.16496,0.7342,0.69494,0.6129,0.63207,0.19539,0.81218,0.79047,0.84072,0.76053,2.93295,0.8216,0.04656,1.30412,0.86328,0.001307,0.001307,0.001307
37,417.795,2.1303,0.24328,0.04444,1.14916,0.74951,0.70849,0.63082,0.61694,0.1884,0.83956,0.75627,0.8386,0.73252,2.94836,0.88618,0.0524,1.54304,0.88683,0.0012872,0.0012872,0.0012872
38,428.474,2.14689,0.25422,0.04458,1.12717,0.7437,0.61912,0.53019,0.47399,0.11183,0.81165,0.69506,0.80576,0.69708,3.1372,0.93443,0.04762,1.71004,0.90186,0.0012674,0.0012674,0.0012674
39,439.812,2.20657,0.30101,0.03192,1.10383,0.74089,0.62342,0.5233,0.48601,0.1235,0.81246,0.69892,0.8117,0.70897,3.1103,0.867,0.04553,1.71888,0.89651,0.0012476,0.0012476,0.0012476
40,450.818,2.10022,0.26805,0.04712,1.1168,0.75122,0.64741,0.49462,0.46946,0.13432,0.81506,0.65591,0.72965,0.6494,3.15362,0.94604,0.05137,1.96885,0.90054,0.0012278,0.0012278,0.0012278
41,461.817,2.12419,0.25377,0.04312,1.14185,0.74468,0.69749,0.58065,0.58125,0.1664,0.8286,0.6931,0.78454,0.69296,3.08966,0.89513,0.045,1.70824,0.89704,0.001208,0.001208,0.001208
42,472.985,2.04543,0.21824,0.0322,1.11431,0.74029,0.69312,0.5448,0.57169,0.17047,0.83513,0.68991,0.82382,0.74712,3.02601,0.79664,0.04156,1.58707,0.88482,0.0011882,0.0011882,0.0011882
43,483.982,2.07624,0.19026,0.04637,1.09423,0.74405,0.71426,0.49104,0.48903,0.13968,0.84953,0.58685,0.71472,0.64885,3.097,0.88557,0.05074,2.17013,0.89264,0.0011684,0.0011684,0.0011684
44,494.913,2.12224,0.1849,0.04397,1.08638,0.73016,0.74608,0.53711,0.56959,0.18819,0.82931,0.60949,0.71657,0.64887,2.85366,0.83632,0.04013,1.78722,0.87054,0.0011486,0.0011486,0.0011486
45,505.736,2.00518,0.18431,0.04072,1.04497,0.73761,0.76895,0.44136,0.52158,0.15067,0.87046,0.50579,0.66197,0.60689,2.95416,0.96203,0.06051,2.35802,0.88985,0.0011288,0.0011288,0.0011288
46,516.147,2.12587,0.24824,0.0583,1.07571,0.7352,0.74433,0.56349,0.58797,0.179,0.84855,0.67742,0.78008,0.7132,2.95836,0.80014,0.04286,1.68411,0.88121,0.001109,0.001109,0.001109
47,527.327,2.09512,0.20147,0.03805,1.09487,0.73149,0.69942,0.50041,0.52096,0.15121,0.82481,0.59064,0.70913,0.65399,3.11281,0.85719,0.04468,1.93112,0.90875,0.0010892,0.0010892,0.0010892
48,538.892,1.98703,0.18171,0.03776,1.02183,0.73519,0.74755,0.46701,0.53337,0.16033,0.8623,0.5387,0.69146,0.63843,2.97616,0.8651,0.05204,2.31175,0.89071,0.0010694,0.0010694,0.0010694
49,549.825,1.9505,0.18905,0.03544,1.02726,0.73429,0.6816,0.50179,0.49881,0.12559,0.85029,0.63082,0.76817,0.6687,3.11748,0.91731,0.04174,2.06721,0.90549,0.0010496,0.0010496,0.0010496
50,561.351,1.92496,0.1692,0.04233,1.02666,0.7449,0.77565,0.35842,0.42981,0.12826,0.8759,0.40475,0.56166,0.52684,3.06932,0.95404,0.06967,2.91119,0.9125,0.0010298,0.0010298,0.0010298
51,573.524,1.98914,0.17428,0.04515,1.07241,0.73372,0.64487,0.50116,0.49287,0.13512,0.83264,0.65979,0.75786,0.6888,3.0426,0.77501,0.03051,1.82866,0.90308,0.00101,0.00101,0.00101
52,585.529,1.93367,0.17003,0.04881,1.04571,0.7251,0.72444,0.4552,0.46538,0.13304,0.88658,0.56035,0.7141,0.65155,3.0621,0.84213,0.03411,2.2715,0.91185,0.0009902,0.0009902,0.0009902
