epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1122,3.62241,3.08926,0.67271,44.5366,1.62588,0.24918,0.35484,0.14961,0.03332,0.4575,0.51613,0.49093,0.35569,3.51477,2.42399,0.62227,2.65324,1.50292,0.000660494,0.000660494,0.000660494
2,53.0563,3.01903,1.24472,0.48584,1.87008,1.18435,0.41535,0.43011,0.3267,0.07374,0.55172,0.53405,0.57843,0.49488,3.25116,1.53999,0.43969,2.29275,1.4351,0.00129796,0.00129796,0.00129796
3,78.9229,2.80158,0.94886,0.29702,1.68121,1.1589,0.54021,0.51796,0.43267,0.12667,0.64861,0.62191,0.61126,0.48593,2.92989,1.63934,0.26222,2.14755,1.30837,0.0019061,0.0019061,0.0019061
4,104.807,2.65156,0.69551,0.18743,1.66545,1.09965,0.48583,0.50896,0.35295,0.09165,0.74591,0.7491,0.75954,0.63049,3.04313,1.24287,0.19619,2.19243,1.30358,0.001868,0.001868,0.001868
5,130.605,2.43255,0.54828,0.09539,1.46407,1.05184,0.6159,0.54599,0.51594,0.13481,0.77415,0.68799,0.78283,0.65124,3.01768,1.16653,0.13345,2.19144,1.28239,0.001824,0.001824,0.001824
6,156.591,2.50519,0.60607,0.0828,1.67383,1.05992,0.61233,0.62724,0.53683,0.14765,0.71027,0.75627,0.76589,0.61302,2.82713,1.12981,0.10522,2.00306,1.24731,0.00178,0.00178,0.00178
7,182.785,2.4465,0.55133,0.07914,1.52741,1.04351,0.60563,0.5229,0.47612,0.13669,0.81599,0.67384,0.73748,0.58265,3.136,1.32708,0.12308,2.41895,1.37792,0.001736,0.001736,0.001736
8,208.966,2.38795,0.45873,0.06275,1.51323,1.02651,0.59775,0.56989,0.54683,0.14622,0.838,0.72043,0.81012,0.70744,3.00422,1.00722,0.09319,2.05751,1.25858,0.001692,0.001692,0.001692
9,235.156,2.34235,0.37629,0.06681,1.40262,0.99745,0.64791,0.63799,0.60853,0.18533,0.75123,0.73835,0.79905,0.67184,2.86459,1.08294,0.0861,2.02472,1.19052,0.001648,0.001648,0.001648
10,261.213,2.31005,0.3874,0.05208,1.49949,1.0291,0.64546,0.64516,0.56009,0.20273,0.74228,0.74194,0.77463,0.66892,2.655,1.09253,0.08037,1.9697,1.20188,0.001604,0.001604,0.001604
11,287.507,2.24322,0.36889,0.06038,1.47869,0.97414,0.7601,0.62724,0.5918,0.17405,0.86417,0.71685,0.75676,0.6549,2.85102,1.13274,0.09487,2.26463,1.27017,0.00156,0.00156,0.00156
12,313.712,2.14314,0.32165,0.06608,1.39341,0.97562,0.75842,0.64158,0.63879,0.18859,0.87665,0.74194,0.80431,0.68728,2.78811,1.08835,0.08316,2.04069,1.19667,0.001516,0.001516,0.001516
13,339.861,2.09639,0.38574,0.06734,1.38954,0.96294,0.65776,0.55197,0.57305,0.17203,0.82347,0.71685,0.78963,0.69029,2.93215,1.09226,0.07617,2.2298,1.25971,0.001472,0.001472,0.001472
14,365.843,2.09478,0.27946,0.05562,1.36172,0.96434,0.72221,0.67025,0.65456,0.2037,0.80854,0.75683,0.81221,0.72273,2.79962,1.03322,0.07641,2.07012,1.25043,0.001428,0.001428,0.001428
15,392.154,2.0392,0.27644,0.07072,1.30345,0.94863,0.68522,0.52688,0.57658,0.17638,0.82845,0.69176,0.76069,0.68066,2.88556,0.99663,0.09045,2.14036,1.25118,0.001384,0.001384,0.001384
16,418.41,2.05115,0.26535,0.06608,1.36491,0.96432,0.65912,0.56272,0.5708,0.16663,0.72466,0.66035,0.70323,0.6237,2.97863,1.10601,0.10338,2.34818,1.3045,0.00134,0.00134,0.00134
17,444.89,2.15228,0.24984,0.05496,1.43877,0.98601,0.69422,0.56631,0.56691,0.15884,0.79648,0.65928,0.7227,0.6168,2.91523,1.16575,0.09013,2.23612,1.2489,0.001296,0.001296,0.001296
18,471.502,2.03823,0.21537,0.04394,1.27899,0.92104,0.60545,0.6595,0.57896,0.17103,0.69842,0.76365,0.73654,0.65169,2.79892,1.07749,0.07104,2.18397,1.22303,0.001252,0.001252,0.001252
19,497.879,2.01665,0.24213,0.04233,1.30842,0.91899,0.73817,0.63799,0.61607,0.18068,0.82214,0.72043,0.76454,0.6786,2.93664,0.98357,0.08044,2.25544,1.2689,0.001208,0.001208,0.001208
20,524.176,1.97293,0.20241,0.05305,1.20532,0.93452,0.77081,0.56657,0.57111,0.17245,0.87322,0.64184,0.69545,0.61228,2.99491,1.10447,0.1227,2.53134,1.33493,0.001164,0.001164,0.001164
21,550.62,1.9337,0.24518,0.05597,1.22575,0.93823,0.76682,0.61649,0.61588,0.19556,0.84822,0.70107,0.74507,0.65221,2.78236,1.06025,0.0792,2.38082,1.2359,0.00112,0.00112,0.00112
22,577.227,1.98525,0.18765,0.03752,1.37947,0.93542,0.73683,0.57202,0.58655,0.20215,0.81813,0.65591,0.71318,0.64332,2.81512,1.02638,0.08214,2.49773,1.21994,0.001076,0.001076,0.001076
23,603.685,1.98227,0.22387,0.0475,1.31391,0.92661,0.79053,0.62222,0.62757,0.19155,0.8539,0.75414,0.78161,0.70341,2.8109,1.04506,0.09399,2.27067,1.24478,0.001032,0.001032,0.001032
24,630.178,1.90249,0.1778,0.04507,1.23865,0.90244,0.77236,0.60805,0.63979,0.1925,0.8556,0.73835,0.80917,0.72224,2.89484,0.99826,0.08454,2.12183,1.22599,0.000988,0.000988,0.000988
